[1612523900244],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523901672],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612523903339],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523903751],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523904564],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523907051],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523907471],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523908064],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523908684],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523910735],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523911760],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523911980],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523912785],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523913405],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523914631],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523915634],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523915841],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523916263],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523921367],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523922201],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523923836],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523924858],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523926693],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523927026],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523928941],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523929137],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523930577],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523932219],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523933643],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523938329],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612523939151],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523943281],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523944460],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523948952],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523950194],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523950196],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523951018],"com.nike.plusgps.inbox.InboxActivity"
[1612523951839],"com.nike.plusgps.inbox.InboxActivity"
[1612523953331],"com.nike.plusgps.profile.PreferencesActivity"
[1612523953685],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523954743],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523955146],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523956352],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612523956761],"com.nike.plusgps.profile.PreferencesActivity"
[1612523958718],"com.nike.plusgps.profile.PreferencesActivity"
[1612523960923],"com.nike.plusgps.profile.PreferencesActivity"
[1612523961964],"com.nike.plusgps.profile.PreferencesActivity"
[1612523963593],"com.nike.plusgps.profile.PreferencesActivity"
[1612523970310],"com.nike.plusgps.profile.PreferencesActivity"
[1612523970503],"com.nike.plusgps.profile.PreferencesActivity"
[1612523971116],"com.nike.plusgps.profile.PreferencesActivity"
[1612523974004],"com.nike.plusgps.profile.PreferencesActivity"
[1612523974348],"com.nike.plusgps.profile.PreferencesActivity"
[1612523975765],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523976572],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523978208],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523979647],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523980669],"com.nike.plusgps.profile.ProfileActivity"
[1612523982306],"com.nike.plusgps.profile.ProfileActivity"
[1612523989358],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523993055],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523994695],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523996161],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523996779],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612523998640],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523999274],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524000283],"com.nike.plusgps.profile.ProfileActivity"
[1612524001497],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524002717],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524003316],"com.nike.plusgps.profile.PreferencesActivity"
[1612524007041],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524009066],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524010699],"com.nike.plusgps.profile.ProfileActivity"
[1612524014236],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524016058],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612524017931],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524018130],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524018939],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524022988],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524023828],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524025137],"com.nike.plusgps.profile.ProfileActivity"
[1612524026753],"com.nike.plusgps.profile.MemberCardActivity"
[1612524029207],"com.nike.plusgps.profile.ProfileActivity"
[1612524029409],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524030430],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524032260],"com.nike.plusgps.activities.ActivitiesActivity"
[1612524034689],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612524043053],"com.nike.plusgps.rundetails.insights.InsightsActivity"
[1612524043679],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612524044311],"com.nike.plusgps.activities.ActivitiesActivity"
[1612524044514],"com.nike.plusgps.activities.ActivitiesActivity"
[1612524045035],"com.nike.plusgps.profile.ProfileActivity"
[1612524051485],"com.nike.plusgps.profile.MemberCardActivity"
[1612524055143],"com.nike.plusgps.profile.ProfileActivity"
[1612524055549],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524057767],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612524058785],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524061544],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524067112],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524068133],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524069174],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524070601],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524070819],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1612524071024],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524071848],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524073808],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524074631],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524074820],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524075860],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524076061],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524078837],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524079252],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524083319],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524084972],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524087215],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524087832],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524088024],"com.nike.music.ui.browse.BrowseActivity"
[1612524088233],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524095989],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524096989],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524100458],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524105325],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524106186],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1612524107022],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524107657],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524107661],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524109874],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524113341],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612524114356],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524115784],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612524116589],"com.nike.plusgps.profile.ProfileActivity"
[1612524119610],"com.nike.plusgps.profile.MemberCardActivity"
[1612524122063],"com.nike.plusgps.profile.ProfileActivity"
[1612524122683],"com.nike.plusgps.profile.ProfileActivity"
[1612524125268],"com.nike.plusgps.profile.ProfileActivity"
[1612524127687],"com.nike.plusgps.profile.ProfileActivity"
[1612524128279],"com.nike.plusgps.profile.PreferencesActivity"
[1612524129505],"com.nike.plusgps.profile.PartnerActivity"
[1612524130390],"com.nike.plusgps.profile.PreferencesActivity"
[1612524131329],"com.nike.plusgps.profile.AboutActivity"
[1612524131537],"com.nike.plusgps.profile.PreferencesActivity"
[1612524131750],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612524133033],"com.nike.plusgps.profile.PreferencesActivity"
[1612524137501],"com.nike.plusgps.widgets.webview.WebViewActivity"
[1612524137904],"com.nike.plusgps.profile.PreferencesActivity"
[1612524138105],"com.nike.plusgps.profile.PreferencesActivity"
[1612524138795],"com.nike.plusgps.profile.PreferencesActivity"
[1612524140393],"com.nike.plusgps.profile.PreferencesActivity"
[1612524141636],"com.nike.plusgps.profile.PreferencesActivity"
[1612524143315],"com.nike.plusgps.profile.PreferencesActivity"
[1612524148520],"com.nike.plusgps.profile.AcknowledgementsActivity"
[1612524149616],"com.nike.plusgps.profile.PreferencesActivity"
[1612524154380],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612524158448],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612524158714],"com.nike.plusgps.profile.PreferencesActivity"
