[1612663984364],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612663984850],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612664002830],"com.nike.plusgps.inrun.InRunActivity"
[1612664002833],"com.nike.plusgps.inrun.InRunActivity"
[1612664003331],"com.nike.plusgps.inrun.InRunActivity"
[1612664003333],"com.nike.plusgps.inrun.InRunActivity"
[1612664003839],"com.nike.plusgps.inrun.InRunActivity"
[1612664004293],"com.nike.music.ui.browse.BrowseActivity"
[1612664005467],"com.nike.music.ui.browse.BrowseActivity"
[1612664005919],"com.nike.music.ui.browse.BrowseActivity"
[1612664006389],"com.nike.music.ui.browse.BrowseActivity"
[1612664006843],"com.nike.music.ui.browse.BrowseActivity"
[1612664007333],"com.nike.plusgps.inrun.InRunActivity"
[1612664008862],"com.nike.plusgps.inrun.InRunActivity"
[1612664009352],"com.nike.plusgps.inrun.InRunActivity"
[1612664009359],"com.nike.plusgps.inrun.InRunActivity"
[1612664009853],"com.nike.plusgps.inrun.InRunActivity"
[1612664009856],"com.nike.plusgps.inrun.InRunActivity"
[1612664010332],"com.nike.plusgps.inrun.InRunActivity"
[1612664010334],"com.nike.plusgps.inrun.InRunActivity"
[1612664010840],"com.nike.plusgps.inrun.InRunActivity"
[1612664010843],"com.nike.plusgps.inrun.InRunActivity"
[1612664011327],"com.nike.plusgps.inrun.InRunActivity"
[1612664014857],"com.nike.plusgps.inrun.InRunActivity"
[1612664014860],"com.nike.plusgps.inrun.InRunActivity"
[1612664017502],"com.nike.plusgps.inrun.InRunActivity"
[1612664017513],"com.nike.plusgps.inrun.InRunActivity"
[1612664018023],"com.nike.plusgps.inrun.InRunActivity"
[1612664018475],"com.nike.music.ui.browse.BrowseActivity"
[1612664018936],"com.nike.music.ui.browse.BrowseActivity"
[1612664021749],"com.nike.music.ui.browse.BrowseActivity"
[1612664022670],"com.nike.music.ui.browse.BrowseActivity"
[1612664022973],"com.nike.music.ui.browse.BrowseActivity"
[1612664023424],"com.nike.music.ui.browse.BrowseActivity"
[1612664023864],"com.nike.music.ui.browse.BrowseActivity"
[1612664025134],"com.nike.music.ui.browse.BrowseActivity"
[1612664025595],"com.nike.music.ui.browse.BrowseActivity"
[1612664027220],"com.nike.music.ui.browse.BrowseActivity"
[1612664029601],"com.nike.music.ui.browse.BrowseActivity"
[1612664029869],"com.nike.music.ui.browse.BrowseActivity"
[1612664030335],"com.nike.music.ui.browse.BrowseActivity"
[1612664030797],"com.nike.music.ui.browse.BrowseActivity"
[1612664031249],"com.nike.music.ui.browse.BrowseActivity"
[1612664031505],"com.nike.music.ui.browse.BrowseActivity"
[1612664033208],"com.nike.music.ui.browse.BrowseActivity"
[1612664033684],"com.nike.music.ui.browse.BrowseActivity"
[1612664034799],"com.nike.music.ui.browse.BrowseActivity"
[1612664035276],"com.nike.music.ui.browse.BrowseActivity"
[1612664039824],"com.nike.music.ui.browse.BrowseActivity"
[1612664040694],"com.nike.music.ui.browse.BrowseActivity"
[1612664041168],"com.nike.music.ui.browse.BrowseActivity"
[1612664041622],"com.nike.music.ui.browse.BrowseActivity"
[1612664042086],"com.nike.music.ui.browse.BrowseActivity"
[1612664042563],"com.nike.music.ui.browse.BrowseActivity"
[1612664043028],"com.nike.music.ui.browse.BrowseActivity"
[1612664043503],"com.nike.music.ui.browse.BrowseActivity"
[1612664043974],"com.nike.music.ui.browse.BrowseActivity"
[1612664044461],"com.nike.music.ui.browse.BrowseActivity"
[1612664045410],"com.nike.music.ui.browse.BrowseActivity"
[1612664046392],"com.nike.music.ui.browse.BrowseActivity"
[1612664046660],"com.nike.music.ui.browse.BrowseActivity"
[1612664047598],"com.nike.music.ui.browse.BrowseActivity"
[1612664050028],"com.nike.music.ui.browse.BrowseActivity"
[1612664051002],"com.nike.music.ui.browse.BrowseActivity"
[1612664051506],"com.nike.music.ui.browse.BrowseActivity"
[1612664052025],"com.nike.music.ui.browse.BrowseActivity"
[1612664053987],"com.nike.music.ui.browse.BrowseActivity"
[1612664054455],"com.nike.music.ui.browse.BrowseActivity"
[1612664054925],"com.nike.music.ui.browse.BrowseActivity"
[1612664055395],"com.nike.music.ui.browse.BrowseActivity"
[1612664057254],"com.nike.music.ui.browse.BrowseActivity"
[1612664057711],"com.nike.music.ui.browse.BrowseActivity"
[1612664058179],"com.nike.music.ui.browse.BrowseActivity"
[1612664058650],"com.nike.music.ui.browse.BrowseActivity"
[1612664059100],"com.nike.music.ui.browse.BrowseActivity"
[1612664059572],"com.nike.music.ui.browse.BrowseActivity"
[1612664060731],"com.nike.music.ui.browse.BrowseActivity"
[1612664062894],"com.nike.music.ui.browse.BrowseActivity"
[1612664064302],"com.nike.music.ui.browse.BrowseActivity"
[1612664066516],"com.nike.music.ui.browse.BrowseActivity"
[1612664067442],"com.nike.music.ui.browse.BrowseActivity"
[1612664068276],"com.nike.plusgps.inrun.InRunActivity"
[1612664068278],"com.nike.plusgps.inrun.InRunActivity"
[1612664069271],"com.nike.plusgps.inrun.InRunActivity"
[1612664069273],"com.nike.plusgps.inrun.InRunActivity"
[1612664069811],"com.nike.plusgps.inrun.InRunActivity"
[1612664072440],"com.nike.plusgps.inrun.InRunActivity"
[1612664073869],"com.nike.plusgps.inrun.InRunActivity"
[1612664073876],"com.nike.plusgps.inrun.InRunActivity"
[1612664074823],"com.nike.plusgps.inrun.InRunActivity"
[1612664074826],"com.nike.plusgps.inrun.InRunActivity"
[1612664076358],"com.nike.plusgps.inrun.InRunActivity"
[1612664076361],"com.nike.plusgps.inrun.InRunActivity"
[1612664077476],"com.nike.plusgps.inrun.InRunActivity"
[1612664077994],"com.nike.plusgps.inrun.InRunActivity"
[1612664078569],"com.nike.plusgps.inrun.InRunActivity"
[1612664079021],"com.nike.music.ui.browse.BrowseActivity"
[1612664079526],"com.nike.plusgps.inrun.InRunActivity"
[1612664080807],"com.nike.plusgps.inrun.InRunActivity"
[1612664081288],"com.nike.plusgps.inrun.InRunActivity"
[1612664081824],"com.nike.plusgps.inrun.InRunActivity"
[1612664082308],"com.nike.plusgps.inrun.InRunActivity"
[1612664083840],"com.nike.plusgps.inrun.InRunActivity"
[1612664084605],"com.nike.music.ui.browse.BrowseActivity"
